Data,Posiłek,"Produkty i potrawy","Miara użyteczna","ilość (g)","kalorie (kcal)","Białka (g)","Zwierzęce (g)","Roślinne (g)","Tłuszcze (g)","Nasycone (g)","Jednonienasycone (g)","Wielonienasycone (g)","Kwas omega 3 (g)","Kwas omega 6 (g)","Węglowodany (g)","Cukry (g)","Cholesterol (mg)","Błonnik (g)","Kofeina (mg)","Kwas foliowy (ug)","Witamina A (ug)","Witamina B1 (mg)","Witamina B2 (mg)","Witamina B5 (mg)","Witamina B6 (mg)","Biotyna (ug)","Witamina B12 (ug)","Witamina C (mg)","Witamina D (ug)","Witamina E (mg)","Witamina PP (mg)","Witamina K (ug)","Cynk (mg)","Fosfor (mg)","Jod (ug)","Magnez (mg)","Miedź (mg)","Potas (mg)","Selen (ug)","Sód (mg)","Wapń (mg)","Żelazo (mg)","Sól (g)"
2023-09-03,Obiad,Marchew,"230x g",230,75.9,2.3,2.3,,0.46,0.092,0,0.276,0.046,0.23,20.01,11.5,,8.28,,73.6,3808.8,0.115,0.115,,0.345,,,7.82,,1.173,1.035,30.36,0.782,73.6,6.9,36.8,0.23,648.6,,188.6,82.8,1.15,0.483
2023-09-03,Obiad,"Papryka czerwona","65x g",65,20.8,0.845,0.845,,0.325,0.065,0.013,0.182,0.065,0.117,4.29,2.99,,1.3,,33.8,343.2,0.026,0.078,,0.2925,,,93.6,,1.885,1.04,3.185,0.169,20.15,0.65,7.15,0.052,165.75,,2.08,8.45,0.39,0.0065
2023-09-03,Obiad,"Mięso z piersi kurczaka","240x g",240,237.6,51.6,0,51.6,3.12,0.72,0.72,0.72,,,0,0,139.2,0,,28.8,14.4,0.24,0.48,,1.44,,0.96,0,0,0.72,29.76,,1.2,576,0,79.2,0,924,,132,12,0.96,
2023-09-03,Przekąska,Śliwki,"55x g",55,26.95,0.33,0.33,0,0.165,0.022,0.0055,0.055,0.0165,0.0385,6.435,4.84,0,0.88,,1.65,26.95,0.033,0.022,,0.0275,,0,2.86,0,0.473,0.2695,3.52,0.0605,11,0.77,4.4,0.0605,114.4,,1.1,8.8,0.275,0.0055
2023-09-03,Przekąska,"Borówka amerykańska","1x porcja",100,61,0.6,,,0.6,,,,,,15,9,,,,6,,0.04,0.04,0.12,,,,10,,,0.42,,,,,,,,,,,,
2023-09-03,Przekąska,"Wasa Kjeks med Fullkornshvetemel og Havregryn","23x g",23,106.03,1.909,,,4.255,0.414,,,0,0,14.122,3.565,,1.84,,,,,,,,,,,,,,,,62.1,,16.1,,,,,,0.598,0.161
2023-09-03,Przekąska,"Sætre Marie Kjeks","20x g",20,90,1.52,,,2.4,0.24,,,0,0,15.2,4,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,0.24
2023-09-03,Kolacja,Mleko,"260x g",260,106.6,9.1,,,2.6,1.56,,,,,11.7,11.7,,,,,,,,,,,,,,,,,,,,,,,,,,,0.26
2023-09-04,Śniadanie,"Smoothie blanding jordbaer OG banan","90x g",90,44.1,0.63,,,0.45,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-04,Śniadanie,"Eldorado Økologiske Blåbær","30x g",30,12.9,0.15,,,0.15,0,,,0,0,2.28,1.92,,0.93,,,,,,,,,,,,,,,,,,,,,,,,,0
2023-09-04,Śniadanie,"Maliny mrożone","35x g",35,10.15,0.385,,,0.175,0,,,,,1.12,1.12,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0035
2023-09-04,Śniadanie,"Kirsebær uten sten","20x g",20,8.2,0.14,,,0,0,,,,,1.8,1.8,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,0
2023-09-04,Śniadanie,Mleko,"260x g",260,106.6,9.1,,,2.6,1.56,,,,,11.7,11.7,,,,,,,,,,,,,,,,,,,,,,,,,,,0.26
2023-09-04,Śniadanie,"Płatki owsiane","50x g",50,170,5.5,,,1.75,0.3,,,,,30,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005
2023-09-04,"II śniadanie","Borówka amerykańska","300x g",300,183,1.8,,,1.8,,,,,,45,27,,,,18,,0.12,0.12,0.36,,,,30,,,1.26,,,,,,,,,,,,
2023-09-04,Obiad,"Kornbrød grovt","45x g",45,108.45,4.815,,,3.78,0.585,,,,,14.625,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-04,Obiad,"Kapusta pekińska","32x g",32,5.12,0.384,0.384,0,0.064,0.016,0.0064,0.0352,0.0256,0.0096,1.024,0.448,0,0.608,,24.64,44.8,0.0128,0.016,,0.0736,,0,8.64,0,0.0384,0.128,,0.0896,11.84,0,4.8,0.0128,48,,2.944,14.4,0.096,0.0064
2023-09-04,Obiad,"Łosoś wędzony","20x g",20,40.8,4.2,,,2.6,0.36,,,,,0.14,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,0.52
2023-09-04,Obiad,"Prior Egg fra Frittgående Norske Høner","63x g",63,93.87,8.19,,,6.678,1.89,,,0,0,0.189,0.189,,,,42.21,,,0,,,,0.756,,0,0.0063,,,,,0.0189,,,,13.23,,,,0.252
2023-09-04,Obiad,Ziemniaki,"180x g",180,156.6,3.42,3.42,0,0.18,0.018,0,0.108,0.018,0.09,36.9,0.54,,2.88,,27,1.8,0.18,0.072,,0.594,,,19.8,0,0.09,2.52,,0.63,109.8,5.4,41.4,0.252,883.8,,14.4,7.2,1.08,0.036
2023-09-04,Obiad,Marchew,"330x g",330,108.9,3.3,3.3,,0.66,0.132,0,0.396,0.066,0.33,28.71,16.5,,11.88,,105.6,5464.8,0.165,0.165,,0.495,,,11.22,,1.683,1.485,43.56,1.122,105.6,9.9,52.8,0.33,930.6,,270.6,118.8,1.65,0.693
2023-09-04,Obiad,"Papryka czerwona","95x g",95,30.4,1.235,1.235,,0.475,0.095,0.019,0.266,0.095,0.171,6.27,4.37,,1.9,,49.4,501.6,0.038,0.114,,0.4275,,,136.8,,2.755,1.52,4.655,0.247,29.45,0.95,10.45,0.076,242.25,,3.04,12.35,0.57,0.0095
2023-09-04,Obiad,"Mięso z piersi kurczaka","230x g",230,227.7,49.45,0,49.45,2.99,0.69,0.69,0.69,,,0,0,133.4,0,,27.6,13.8,0.23,0.46,,1.38,,0.92,0,0,0.69,28.52,,1.15,552,0,75.9,0,885.5,,126.5,11.5,0.92,
2023-09-04,Przekąska,Śliwki,"70x g",70,34.3,0.42,0.42,0,0.21,0.028,0.007,0.07,0.021,0.049,8.19,6.16,0,1.12,,2.1,34.3,0.042,0.028,,0.035,,0,3.64,0,0.602,0.343,4.48,0.077,14,0.98,5.6,0.077,145.6,,1.4,11.2,0.35,0.007
2023-09-04,Kolacja,Mleko,"260x g",260,106.6,9.1,,,2.6,1.56,,,,,11.7,11.7,,,,,,,,,,,,,,,,,,,,,,,,,,,0.26
2023-09-05,Śniadanie,"Smoothie blanding jordbaer OG banan","90x g",90,44.1,0.63,,,0.45,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-05,Śniadanie,"Kirsebær uten sten","20x g",20,8.2,0.14,,,0,0,,,,,1.8,1.8,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,0
2023-09-05,Śniadanie,"Maliny mrożone","35x g",35,10.15,0.385,,,0.175,0,,,,,1.12,1.12,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0035
2023-09-05,Śniadanie,Tyttebær,"15x g",15,6.6,0.105,,,0.09,,,,,,1.05,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-05,Śniadanie,Skogsboes,"45x g",45,27,0.495,,,0.45,,,,,,4.545,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009
2023-09-05,Śniadanie,"Borówka amerykańska","20x g",20,12.2,0.12,,,0.12,,,,,,3,1.8,,,,1.2,,0.008,0.008,0.024,,,,2,,,0.084,,,,,,,,,,,,
2023-09-05,Śniadanie,Mleko,"335x g",335,137.35,11.725,,,3.35,2.01,,,,,15.075,15.075,,,,,,,,,,,,,,,,,,,,,,,,,,,0.335
2023-09-05,Śniadanie,"Płatki owsiane","50x g",50,170,5.5,,,1.75,0.3,,,,,30,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005
2023-09-05,"II śniadanie","Prior Egg fra Frittgående Norske Høner","63x g",63,93.87,8.19,,,6.678,1.89,,,0,0,0.189,0.189,,,,42.21,,,0,,,,0.756,,0,0.0063,,,,,0.0189,,,,13.23,,,,0.252
2023-09-05,"II śniadanie","Kapusta pekińska","40x g",40,6.4,0.48,0.48,0,0.08,0.02,0.008,0.044,0.032,0.012,1.28,0.56,0,0.76,,30.8,56,0.016,0.02,,0.092,,0,10.8,0,0.048,0.16,,0.112,14.8,0,6,0.016,60,,3.68,18,0.12,0.008
2023-09-05,"II śniadanie","Kornbrød grovt","70x g",70,168.7,7.49,,,5.88,0.91,,,,,22.75,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-05,"II śniadanie","Krakowska sucha","24x g",24,56.16,6.96,,,3.12,1.104,,,,,0.048,0,,0.12,,,,,,,,,,,,,,,,,,,,,,316.8,,,0.792
2023-09-05,Obiad,"Mięso z piersi kurczaka","265x g",265,262.35,56.975,0,56.975,3.445,0.795,0.795,0.795,,,0,0,153.7,0,,31.8,15.9,0.265,0.53,,1.59,,1.06,0,0,0.795,32.86,,1.325,636,0,87.45,0,1020.25,,145.75,13.25,1.06,
2023-09-05,Obiad,Ziemniaki,"230x g",230,200.1,4.37,4.37,0,0.23,0.023,0,0.138,0.023,0.115,47.15,0.69,,3.68,,34.5,2.3,0.23,0.092,,0.759,,,25.3,0,0.115,3.22,,0.805,140.3,6.9,52.9,0.322,1129.3,,18.4,9.2,1.38,0.046
2023-09-05,Obiad,Marchew,"205x g",205,67.65,2.05,2.05,,0.41,0.082,0,0.246,0.041,0.205,17.835,10.25,,7.38,,65.6,3394.8,0.1025,0.1025,,0.3075,,,6.97,,1.0455,0.9225,27.06,0.697,65.6,6.15,32.8,0.205,578.1,,168.1,73.8,1.025,0.4305
2023-09-05,Przekąska,Jabłko,"165x g",165,82.5,0.66,0.66,0,0.66,0.066,0.0165,0.1485,0.0165,0.132,19.965,16.005,0,3.3,0,9.9,6.6,0.0495,0.0495,0.099,0.0495,,0,15.18,,0.8085,0.2805,2.145,0.264,14.85,2.64,4.95,0.066,221.1,0.495,3.3,6.6,0.495,0.0165
2023-09-05,Przekąska,Śliwki,"75x g",75,36.75,0.45,0.45,0,0.225,0.03,0.0075,0.075,0.0225,0.0525,8.775,6.6,0,1.2,,2.25,36.75,0.045,0.03,,0.0375,,0,3.9,0,0.645,0.3675,4.8,0.0825,15,1.05,6,0.0825,156,,1.5,12,0.375,0.0075
2023-09-05,Kolacja,Mleko,"260x g",260,106.6,9.1,,,2.6,1.56,,,,,11.7,11.7,,,,,,,,,,,,,,,,,,,,,,,,,,,0.26
2023-09-06,Śniadanie,"Eldorado Økologiske Blåbær","30x g",30,12.9,0.15,,,0.15,0,,,0,0,2.28,1.92,,0.93,,,,,,,,,,,,,,,,,,,,,,,,,0
2023-09-06,Śniadanie,"Kirsebær uten sten","20x g",20,8.2,0.14,,,0,0,,,,,1.8,1.8,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,0
2023-09-06,Śniadanie,"Maliny mrożone","35x g",35,10.15,0.385,,,0.175,0,,,,,1.12,1.12,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0035
2023-09-06,Śniadanie,"Smoothie blanding jordbaer OG banan","90x g",90,44.1,0.63,,,0.45,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-06,Śniadanie,Mleko,"260x g",260,106.6,9.1,,,2.6,1.56,,,,,11.7,11.7,,,,,,,,,,,,,,,,,,,,,,,,,,,0.26
2023-09-06,Śniadanie,"Płatki owsiane","50x g",50,170,5.5,,,1.75,0.3,,,,,30,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005
2023-09-06,"II śniadanie","Kornbrød grovt","75x g",75,180.75,8.025,,,6.3,0.975,,,,,24.375,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-06,"II śniadanie","Krakowska sucha","65x g",65,152.1,18.85,,,8.45,2.99,,,,,0.13,0,,0.325,,,,,,,,,,,,,,,,,,,,,,858,,,2.145
2023-09-06,"II śniadanie","Prior Egg fra Frittgående Norske Høner","68x g",68,101.32,8.84,,,7.208,2.04,,,0,0,0.204,0.204,,,,45.56,,,0,,,,0.816,,0,0.0068,,,,,0.0204,,,,14.28,,,,0.272
2023-09-06,"II śniadanie","Kapusta pekińska","67x g",67,10.72,0.804,0.804,0,0.134,0.0335,0.0134,0.0737,0.0536,0.0201,2.144,0.938,0,1.273,,51.59,93.8,0.0268,0.0335,,0.1541,,0,18.09,0,0.0804,0.268,,0.1876,24.79,0,10.05,0.0268,100.5,,6.164,30.15,0.201,0.0134
2023-09-06,Obiad,"Mięso z piersi kurczaka","290x g",290,287.1,62.35,0,62.35,3.77,0.87,0.87,0.87,,,0,0,168.2,0,,34.8,17.4,0.29,0.58,,1.74,,1.16,0,0,0.87,35.96,,1.45,696,0,95.7,0,1116.5,,159.5,14.5,1.16,
2023-09-06,Obiad,Ziemniaki,"250x g",250,217.5,4.75,4.75,0,0.25,0.025,0,0.15,0.025,0.125,51.25,0.75,,4,,37.5,2.5,0.25,0.1,,0.825,,,27.5,0,0.125,3.5,,0.875,152.5,7.5,57.5,0.35,1227.5,,20,10,1.5,0.05
2023-09-06,Obiad,Marchew,"150x g",150,49.5,1.5,1.5,,0.3,0.06,0,0.18,0.03,0.15,13.05,7.5,,5.4,,48,2484,0.075,0.075,,0.225,,,5.1,,0.765,0.675,19.8,0.51,48,4.5,24,0.15,423,,123,54,0.75,0.315
2023-09-06,Przekąska,Śliwki,"150x g",150,73.5,0.9,0.9,0,0.45,0.06,0.015,0.15,0.045,0.105,17.55,13.2,0,2.4,,4.5,73.5,0.09,0.06,,0.075,,0,7.8,0,1.29,0.735,9.6,0.165,30,2.1,12,0.165,312,,3,24,0.75,0.015
2023-09-06,Przekąska,"Sætre Marie Kjeks","4x g",4,18,0.304,,,0.48,0.048,,,0,0,3.04,0.8,,0.12,,,,,,,,,,,,,,,,,,,,,,,,,0.048
2023-09-06,Kolacja,Mleko,"260x g",260,106.6,9.1,,,2.6,1.56,,,,,11.7,11.7,,,,,,,,,,,,,,,,,,,,,,,,,,,0.26
2023-09-07,Śniadanie,"Kirsebær uten sten","20x g",20,8.2,0.14,,,0,0,,,,,1.8,1.8,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,0
2023-09-07,Śniadanie,"Maliny mrożone","35x g",35,10.15,0.385,,,0.175,0,,,,,1.12,1.12,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0035
2023-09-07,Śniadanie,"Smoothie blanding jordbaer OG banan","90x g",90,44.1,0.63,,,0.45,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-07,Śniadanie,Tyttebær,"15x g",15,6.6,0.105,,,0.09,,,,,,1.05,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-07,Śniadanie,Skogsboes,"30x g",30,18,0.33,,,0.3,,,,,,3.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.006
2023-09-07,Śniadanie,Mleko,"250x g",250,102.5,8.75,,,2.5,1.5,,,,,11.25,11.25,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25
